,date,Day,Week,Quarter,Year,Year_half,TSA wait times,isPartial,Airport security,Airline checkin,Christmas Day,Christmas Day (observed),Columbus Day,Independence Day,Independence Day (observed),Juneteenth National Independence Day,Juneteenth National Independence Day (observed),Labor Day,Martin Luther King Jr. Day,Memorial Day,New Year's Day,New Year's Day (observed),Thanksgiving,Veterans Day,Veterans Day (observed),Washington's Birthday,WEI
0,2019-01-01,Tuesday,00,1.0,2019.0,1.0,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,
1,2019-01-02,Wednesday,00,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,
2,2019-01-03,Thursday,00,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,
3,2019-01-04,Friday,00,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,
4,2019-01-05,Saturday,00,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.84
5,2019-01-06,Sunday,01,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.84
6,2019-01-07,Monday,01,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.84
7,2019-01-08,Tuesday,01,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.84
8,2019-01-09,Wednesday,01,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.84
9,2019-01-10,Thursday,01,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.84
10,2019-01-11,Friday,01,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.84
11,2019-01-12,Saturday,01,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.98
12,2019-01-13,Sunday,02,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.98
13,2019-01-14,Monday,02,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.98
14,2019-01-15,Tuesday,02,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.98
15,2019-01-16,Wednesday,02,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.98
16,2019-01-17,Thursday,02,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.98
17,2019-01-18,Friday,02,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,1.98
18,2019-01-19,Saturday,02,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,2.37
19,2019-01-20,Sunday,03,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,2.37
20,2019-01-21,Monday,03,1.0,2019.0,1.0,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2.37
21,2019-01-22,Tuesday,03,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,2.37
22,2019-01-23,Wednesday,03,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,2.37
23,2019-01-24,Thursday,03,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,2.37
24,2019-01-25,Friday,03,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,2.37
25,2019-01-26,Saturday,03,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,2.28
26,2019-01-27,Sunday,04,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,2.28
27,2019-01-28,Monday,04,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,2.28
28,2019-01-29,Tuesday,04,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,2.28
29,2019-01-30,Wednesday,04,1.0,2019.0,1.0,,,,,,,,,,,,,,,,,,,,,2.28
