,date,Christmas Day,Christmas Day (observed),Columbus Day,Independence Day,Independence Day (observed),Juneteenth National Independence Day,Juneteenth National Independence Day (observed),Labor Day,Martin Luther King Jr. Day,Memorial Day,New Year's Day,New Year's Day (observed),Thanksgiving,Veterans Day,Veterans Day (observed),Washington's Birthday
0,2019-01-01,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1,2019-05-27,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,2019-07-04,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
3,2019-09-02,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,2019-11-11,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
5,2019-11-28,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
6,2019-12-25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7,2019-01-21,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8,2019-02-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
9,2019-10-14,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
10,2020-01-01,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11,2020-05-25,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
12,2020-07-04,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
13,2020-07-03,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
14,2020-09-07,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
15,2020-11-11,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
16,2020-11-26,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
17,2020-12-25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,2020-01-20,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
19,2020-02-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
20,2020-10-12,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
21,2021-01-01,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
22,2021-12-31,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
23,2021-05-31,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
24,2021-06-19,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
25,2021-06-18,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
26,2021-07-04,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
27,2021-07-05,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
28,2021-09-06,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
29,2021-11-11,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
30,2021-11-25,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
31,2021-12-25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
32,2021-12-24,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
