,date,WEI
574,2019-01-05,1.84
575,2019-01-12,1.98
576,2019-01-19,2.37
577,2019-01-26,2.28
578,2019-02-02,2.03
579,2019-02-09,1.62
580,2019-02-16,1.81
581,2019-02-23,2.24
582,2019-03-02,2.0
583,2019-03-09,2.02
584,2019-03-16,1.93
585,2019-03-23,1.75
586,2019-03-30,2.01
587,2019-04-06,2.11
588,2019-04-13,1.9
589,2019-04-20,2.28
590,2019-04-27,2.02
591,2019-05-04,2.01
592,2019-05-11,1.86
593,2019-05-18,1.69
594,2019-05-25,1.75
595,2019-06-01,1.87
596,2019-06-08,1.77
597,2019-06-15,1.82
598,2019-06-22,1.94
599,2019-06-29,1.79
600,2019-07-06,2.03
601,2019-07-13,1.61
602,2019-07-20,1.89
603,2019-07-27,1.7
604,2019-08-03,1.89
605,2019-08-10,1.66
606,2019-08-17,1.6
607,2019-08-24,1.67
608,2019-08-31,1.42
609,2019-09-07,1.68
610,2019-09-14,1.59
611,2019-09-21,1.35
612,2019-09-28,1.61
613,2019-10-05,1.53
614,2019-10-12,1.44
615,2019-10-19,1.53
616,2019-10-26,1.5
617,2019-11-02,1.59
618,2019-11-09,1.53
619,2019-11-16,1.4
620,2019-11-23,2.45
621,2019-11-30,0.98
622,2019-12-07,1.05
623,2019-12-14,1.42
624,2019-12-21,1.88
625,2019-12-28,1.86
626,2020-01-04,1.57
627,2020-01-11,1.13
628,2020-01-18,1.41
629,2020-01-25,1.48
630,2020-02-01,1.81
631,2020-02-08,1.75
632,2020-02-15,1.48
633,2020-02-22,1.41
634,2020-02-29,1.42
635,2020-03-07,1.16
636,2020-03-14,1.08
637,2020-03-21,-1.01
638,2020-03-28,-3.68
639,2020-04-04,-5.56
640,2020-04-11,-7.52
641,2020-04-18,-7.93
642,2020-04-25,-8.07
643,2020-05-02,-8.1
644,2020-05-09,-7.29
645,2020-05-16,-7.31
646,2020-05-23,-6.89
647,2020-05-30,-6.67
648,2020-06-06,-6.3
649,2020-06-13,-5.61
650,2020-06-20,-5.07
651,2020-06-27,-4.88
652,2020-07-04,-4.38
653,2020-07-11,-4.19
654,2020-07-18,-4.86
655,2020-07-25,-4.25
656,2020-08-01,-4.01
657,2020-08-08,-3.61
658,2020-08-15,-3.56
659,2020-08-22,-2.88
660,2020-08-29,-2.25
661,2020-09-05,-2.34
662,2020-09-12,-3.45
663,2020-09-19,-2.49
664,2020-09-26,-2.54
665,2020-10-03,-2.2
666,2020-10-10,-1.82
667,2020-10-17,-1.89
668,2020-10-24,-1.43
669,2020-10-31,-1.24
670,2020-11-07,-1.18
671,2020-11-14,-1.26
672,2020-11-21,-1.18
673,2020-11-28,-0.54
674,2020-12-05,-0.82
675,2020-12-12,-1.0
676,2020-12-19,-0.4
677,2020-12-26,0.83
678,2021-01-02,-0.37
679,2021-01-09,0.22
680,2021-01-16,0.24
681,2021-01-23,0.3
682,2021-01-30,-0.11
683,2021-02-06,-0.1
684,2021-02-13,0.45
685,2021-02-20,-0.98
686,2021-02-27,0.04
687,2021-03-06,0.92
688,2021-03-13,1.1
689,2021-03-20,3.65
690,2021-03-27,6.35
